date,description,amount,category,account
2024-01-15,Starbucks Coffee,-4.85,Food & Dining,Chase Freedom
2024-01-16,Shell Gas Station,-45.20,Gas,Chase Freedom
2024-01-17,Amazon Purchase,-89.99,Shopping,Chase Freedom
2024-01-18,Whole Foods Market,-127.43,Groceries,Chase Freedom
2024-01-19,Netflix Subscription,-15.99,Entertainment,Chase Freedom
2024-01-20,Uber Ride,-18.75,Transportation,Chase Freedom
2024-01-21,Target Store,-67.32,Shopping,Chase Freedom
2024-01-22,McDonald's,-12.45,Food & Dining,Chase Freedom
2024-01-23,CVS Pharmacy,-23.67,Health,Chase Freedom
2024-01-24,Spotify Premium,-9.99,Entertainment,Chase Freedom
2024-01-25,Chipotle Mexican Grill,-11.85,Food & Dining,Chase Freedom
2024-01-26,Exxon Mobil,-52.10,Gas,Chase Freedom
2024-01-27,Best Buy,-299.99,Electronics,Chase Freedom
2024-01-28,Kroger Grocery,-89.45,Groceries,Chase Freedom
2024-01-29,Apple App Store,-2.99,Digital Services,Chase Freedom
